world_file,category,difficulty,obstacles,a_mem,a_time,a_turns,d_mem,d_time,d_turns,rrt_mem,rrt_time,rrt_turns,spawn_x,spawn_y,spawn_z,goal_x,goal_y,wall_count
map_4302_Random_hard.sdf,Random,Hard,676,427,4458.4239,17,1824,18453.1672,17,485,9511.2085,43.7,-11.5,10.5,0.1,10.5,-12.0,676
map_4951_Random_hard.sdf,Random,Hard,741,515,5618.929,22,1760,17794.3513,18,473,7216.7238,44.4,-11.0,11.0,0.1,11.0,-11.0,741
map_4822_Random_hard.sdf,Random,Hard,726,435,4574.7944,19,1776,17984.9741,18,518,9853.6162,44.2,-11.5,11.0,0.1,10.5,-10.5,726
map_4752_Random_hard.sdf,Random,Hard,721,386,4013.1193,19,1780,18007.3819,18,509,7928.0365,44.2,-11.5,10.0,0.1,11.5,-11.0,721
map_4492_Random_hard.sdf,Random,Hard,691,413,4253.786,19,1808,18279.0299,18,510,10531.1637,44.0,-10.5,10.5,0.1,11.5,-12.0,691
map_4818_Random_hard.sdf,Random,Hard,726,325,3446.2146,17,1770,17910.2146,18,487,8997.4765,43.8,-11.0,11.0,0.1,10.0,-12.0,726
map_4226_Random_hard.sdf,Random,Hard,666,366,3983.2555,16,1834,18540.6998,18,420,4855.9573,43.6,-11.5,10.0,0.1,11.5,-12.0,666
map_4581_Random_hard.sdf,Random,Hard,701,349,3686.0828,18,1798,18189.552,18,530,11629.2442,44.1,-11.5,11.0,0.1,11.0,-11.0,701
map_4390_Random_hard.sdf,Random,Hard,681,308,3240.0516,19,1818,18389.211,18,494,7924.1696,43.6,-11.5,11.0,0.1,11.0,-11.5,681
map_4009_Random_hard.sdf,Random,Hard,646,359,3892.0667,15,1856,18750.779,17,506,6411.1095,43.5,-11.0,11.0,0.1,11.5,-11.5,646
map_4225_Random_hard.sdf,Random,Hard,666,360,3931.9191,17,1835,18545.912,17,491,6648.1583,43.5,-11.5,11.0,0.1,11.5,-10.5,666
map_3891_Random_hard.sdf,Random,Hard,631,374,4021.1708,15,1869,18916.9068,15,478,5867.345,43.7,-11.5,11.0,0.1,11.5,-12.0,631
map_4682_Random_hard.sdf,Random,Hard,711,366,4019.0485,19,1788,18103.641,18,489,6975.8837,44.1,-11.5,11.0,0.1,11.5,-12.0,711
map_3200_Random_hard.sdf,Random,Hard,566,354,3818.455,14,1934,19553.7513,15,507,8454.4904,43.1,-10.5,11.0,0.1,10.5,-12.0,566
map_3955_Random_hard.sdf,Random,Hard,641,356,3867.9235,15,1860,18808.2534,14,503,6259.5104,43.3,-11.5,11.0,0.1,10.5,-12.0,641
map_3158_Random_hard.sdf,Random,Hard,561,357,3855.1031,14,1940,19600.6004,15,415,4688.1304,43.0,-11.5,10.5,0.1,10.5,-12.0,561
map_2627_Random_moderate.sdf,Random,Moderate,506,120,1346.8612,10,1994,20127.7177,9,378,3285.6701,42.1,-11.5,11.0,0.1,11.5,-12.0,506
map_4557_Random_moderate.sdf,Random,Moderate,701,120,1344.6609,10,1798,18148.2059,10,370,3242.5585,42.8,-11.5,11.0,0.1,11.5,-12.0,701
map_2523_Random_moderate.sdf,Random,Moderate,496,117,1301.6223,6,2004,20224.7886,7,325,2440.0087,41.8,-11.5,10.0,0.1,11.5,-12.0,496
map_2522_Random_moderate.sdf,Random,Moderate,496,126,1416.7009,9,2004,20229.528,9,326,2809.776,41.9,-10.5,11.0,0.1,11.5,-11.0,496
map_2375_Random_moderate.sdf,Random,Moderate,481,120,1353.5338,10,2018,20371.6901,9,384,3335.9563,41.9,-11.5,11.0,0.1,11.5,-12.0,481
map_1352_Random_moderate.sdf,Random,Moderate,381,100,1143.2908,7,2118,21365.545,6,334,2691.9024,41.7,-11.5,11.0,0.1,11.5,-12.0,381
map_59_Random_easy.sdf,Random,Easy,251,47,600.1192,0,2237,22530.1673,0,291,1985.0152,42.0,-11.5,11.0,0.1,11.5,-12.0,251
map_61_Random_easy.sdf,Random,Easy,251,47,599.1263,0,2237,22528.0691,0,292,1978.8882,41.5,-11.5,11.0,0.1,11.5,-12.0,251
map_62_Random_easy.sdf,Random,Easy,251,47,600.378,0,2237,22518.9677,0,291,1989.1752,41.5,-11.5,11.0,0.1,11.5,-12.0,251
map_7372_Rooms_hard.sdf,Rooms,Hard,839,1288,13704.3158,16,1647,16707.886,14,545,10447.0434,51.0,-11.5,10.5,0.1,11.0,-11.5,839
map_9687_Rooms_hard.sdf,Rooms,Hard,997,1230,13328.4857,16,1443,14601.0108,15,602,11237.9228,55.3,-11.5,11.0,0.1,11.5,-12.0,997
map_9544_Rooms_hard.sdf,Rooms,Hard,1018,1217,13006.5516,16,1463,14729.3644,15,534,12363.9138,51.0,-11.0,10.5,0.1,11.5,-12.0,1018
map_8843_Rooms_hard.sdf,Rooms,Hard,1015,1165,12742.3174,11,1467,14768.4706,14,505,11163.7768,50.8,-11.5,11.0,0.1,11.5,-12.0,1015
map_8074_Rooms_hard.sdf,Rooms,Hard,827,1195,12875.9917,13,1665,16986.9476,12,490,9006.6955,51.7,-11.5,10.5,0.1,11.5,-12.0,827
map_9405_Rooms_hard.sdf,Rooms,Hard,897,1140,12439.1956,14,1588,16114.7737,12,445,7643.1711,47.9,-11.0,11.0,0.1,11.0,-11.5,897
map_9381_Rooms_hard.sdf,Rooms,Hard,841,1090,11838.1263,9,1671,16942.688,13,428,7408.4774,47.3,-11.0,10.5,0.1,11.0,-11.5,841
map_9152_Rooms_hard.sdf,Rooms,Hard,803,1092,11941.1402,11,1685,17094.2708,12,425,6858.9788,46.9,-11.5,11.0,0.1,11.0,-12.0,803
map_7981_Rooms_hard.sdf,Rooms,Hard,887,1076,11750.0773,13,1568,15871.2179,13,555,9552.357,51.5,-11.5,11.0,0.1,11.5,-12.0,887
map_8382_Rooms_hard.sdf,Rooms,Hard,866,1071,11733.4264,14,1631,16518.2378,13,440,7230.6769,47.3,-11.0,10.5,0.1,11.5,-12.0,866
map_7972_Rooms_hard.sdf,Rooms,Hard,863,1080,11743.8845,11,1460,14903.0898,13,543,9278.1858,53.7,-11.5,11.0,0.1,11.0,-11.5,863
map_5937_Rooms_hard.sdf,Rooms,Hard,543,1052,11555.623,15,1947,19724.9503,10,427,6548.2552,45.6,-11.5,11.0,0.1,11.0,-11.5,543
map_9061_Rooms_hard.sdf,Rooms,Hard,937,1049,11432.5446,12,1551,15689.9555,13,468,9046.4848,47.7,-11.5,11.0,0.1,11.5,-11.5,937
map_9826_Rooms_hard.sdf,Rooms,Hard,1070,1035,11124.8451,16,1302,13143.7966,14,411,7941.6185,50.8,-11.0,10.5,0.1,11.0,-12.0,1070
map_9713_Rooms_hard.sdf,Rooms,Hard,1017,1010,10875.649,12,1483,15050.2801,12,451,7748.9942,47.3,-11.5,10.5,0.1,11.0,-11.5,1017
map_8661_Rooms_hard.sdf,Rooms,Hard,724,1053,11430.9317,12,1779,18068.1558,11,415,5923.3428,46.1,-11.5,11.0,0.1,11.0,-11.5,724
map_7219_Rooms_moderate.sdf,Rooms,Moderate,671,203,2351.4304,8,1826,18483.9343,9,404,3967.0829,44.8,-11.5,11.0,0.1,11.5,-12.0,671
map_8658_Rooms_moderate.sdf,Rooms,Moderate,1004,218,2393.0833,8,1495,15100.4198,11,425,4176.2841,44.1,-11.0,10.5,0.1,11.5,-11.5,1004
map_8829_Rooms_moderate.sdf,Rooms,Moderate,687,199,2182.2763,8,1812,18304.0551,8,390,2907.869,42.8,-10.5,11.0,0.1,11.5,-12.0,687
map_9705_Rooms_moderate.sdf,Rooms,Moderate,1069,199,2247.4328,10,1377,13969.2952,15,544,8718.6869,47.0,-11.0,10.5,0.1,11.5,-11.0,1069
map_9082_Rooms_moderate.sdf,Rooms,Moderate,871,187,2060.3,11,1592,16100.4866,7,406,3442.5536,45.1,-11.5,10.5,0.1,11.0,-11.5,871
map_6610_Rooms_moderate.sdf,Rooms,Moderate,589,185,2035.4773,7,1910,19302.4585,8,354,2869.4394,43.0,-11.5,11.0,0.1,11.0,-12.0,589
map_5009_Rooms_easy.sdf,Rooms,Easy,364,48,600.9485,0,2136,21538.1768,0,285,1998.3271,41.5,-11.5,11.0,0.1,11.5,-12.0,364
map_5836_Rooms_easy.sdf,Rooms,Easy,473,48,600.0403,0,2027,20447.257,0,287,2055.786,41.5,-11.5,11.0,0.1,11.5,-12.0,473
map_5837_Rooms_easy.sdf,Rooms,Easy,354,47,597.4891,0,2145,21620.2081,0,316,2092.7968,41.5,-11.0,10.5,0.1,11.5,-11.5,354
map_13994_Corridors_hard.sdf,Corridors,Hard,1734,744,8003.9675,26,743,7766.8798,26,783,31402.8655,54.8,-11.5,11.0,0.1,11.5,-12.0,1734
map_14802_Corridors_hard.sdf,Corridors,Hard,1738,700,7498.8001,23,756,7756.0356,22,681,25701.5817,48.2,-11.5,11.0,0.1,11.5,-12.0,1738
map_14980_Corridors_hard.sdf,Corridors,Hard,1788,667,7202.8075,25,711,7354.3681,23,685,27528.7331,49.1,-11.5,11.0,0.1,11.5,-12.0,1788
map_14668_Corridors_hard.sdf,Corridors,Hard,1735,675,7223.7532,26,755,7825.0801,24,695,25360.9829,50.5,-11.5,11.0,0.1,11.5,-12.0,1735
map_14888_Corridors_hard.sdf,Corridors,Hard,1824,658,7105.8391,25,672,6974.7561,23,669,23921.1837,47.7,-11.5,11.0,0.1,11.5,-12.0,1824
map_14735_Corridors_hard.sdf,Corridors,Hard,1791,640,6899.0429,19,710,7301.5335,18,527,19072.7039,44.6,-11.5,11.0,0.1,11.5,-12.0,1791
map_14547_Corridors_hard.sdf,Corridors,Hard,1824,648,7047.9093,23,659,6848.2429,24,671,24852.4449,49.1,-11.5,11.0,0.1,11.5,-12.0,1824
map_14510_Corridors_hard.sdf,Corridors,Hard,1818,638,6903.6464,23,683,7026.4571,21,638,26104.6893,45.8,-11.5,11.0,0.1,11.5,-12.0,1818
map_14494_Corridors_hard.sdf,Corridors,Hard,1788,647,7009.3766,26,710,7382.1727,25,708,29962.8383,50.8,-11.5,11.0,0.1,11.5,-12.0,1788
map_14706_Corridors_hard.sdf,Corridors,Hard,1814,642,6992.5676,25,674,6995.4455,24,641,24548.7269,49.2,-11.5,11.0,0.1,11.5,-12.0,1814
map_14074_Corridors_hard.sdf,Corridors,Hard,1847,645,7026.8557,28,648,6769.0191,28,651,28575.5484,52.7,-11.5,11.0,0.1,11.5,-12.0,1847
map_14190_Corridors_hard.sdf,Corridors,Hard,1764,640,6916.4215,29,720,7471.3407,26,703,30985.1952,50.3,-11.5,11.0,0.1,11.5,-12.0,1764
map_14056_Corridors_hard.sdf,Corridors,Hard,1776,628,6843.1789,28,709,7383.9624,24,718,24043.9703,50.9,-11.5,11.0,0.1,11.5,-12.0,1776
map_13364_Corridors_hard.sdf,Corridors,Hard,1854,633,6882.4525,23,660,6888.1293,26,765,31165.6888,53.2,-11.5,11.0,0.1,11.5,-12.0,1854
map_14495_Corridors_hard.sdf,Corridors,Hard,1755,632,6873.8568,26,702,7231.3988,22,682,24585.5399,48.2,-11.5,11.0,0.1,11.5,-12.0,1755
map_13820_Corridors_hard.sdf,Corridors,Hard,1857,627,6748.5004,18,640,6593.0698,19,664,24642.1062,46.2,-11.5,11.0,0.1,11.5,-12.0,1857
